headline,label
NGOs launch campaign to support rural education,REAL
Sachin Tendulkar returns to play in IPL 2025,FAKE
Virat Kohli scores century in comeback match,REAL
Scientists find cure for aging in Indian herbs,FAKE
BCCI cancels IPL due to player protests,FAKE
India sees record voter turnout in general elections,REAL
Startup ecosystem grows rapidly in Tier-2 cities,REAL
RBI maintains repo rate unchanged for this quarter,REAL
Sensex hits record high amid investor optimism,REAL
Government bans internet nationwide for a week,FAKE
Scientists find cure for aging in Indian herbs,FAKE
WHO declares India malaria-free in 2025,FAKE
India becomes world's fifth-largest economy,REAL
ISRO successfully launches new communication satellite,REAL
Citizens to receive monthly government allowance,FAKE
TCS reports strong quarterly profits amid global demand,REAL
New law mandates social media use for all adults,FAKE
New web series tops OTT charts across India,REAL
All Indian states to merge under one governance,FAKE
India becomes world's fifth-largest economy,REAL
PM resigns after international scandal surfaces,FAKE
Government announces new tax reforms for startups,REAL
India reports steady decline in COVID-19 cases,REAL
Government announces new tax reforms for startups,REAL
WHO declares India malaria-free in 2025,FAKE
TCS reports strong quarterly profits amid global demand,REAL
Opposition forms alliance with foreign party,FAKE
New law mandates social media use for all adults,FAKE
All Indian states to merge under one governance,FAKE
Indian football team qualifies for FIFA World Cup,FAKE
PM resigns after international scandal surfaces,FAKE
New vaccine launched for dengue prevention,REAL
New web series tops OTT charts across India,REAL
Government bans internet nationwide for a week,FAKE
ISRO successfully launches new communication satellite,REAL
Sachin Tendulkar returns to play in IPL 2025,FAKE
Indian football team qualifies for FIFA World Cup,FAKE
New vaccine launched for dengue prevention,REAL
Mumbai Indians clinch IPL title for record sixth time,REAL
Bollywood mourns loss of veteran actor,REAL
Indian football team qualifies for FIFA World Cup,FAKE
All Indian states to merge under one governance,FAKE
Government bans internet nationwide for a week,FAKE
Virat Kohli scores century in comeback match,REAL
BCCI cancels IPL due to player protests,FAKE
Mumbai Indians clinch IPL title for record sixth time,REAL
Shah Rukh Khan’s latest film breaks box office records,REAL
Reliance develops AI robot that replaces 90% of workers,FAKE
New law mandates social media use for all adults,FAKE
ISRO loses contact with Mars mission carrying astronauts,FAKE
Indian football team qualifies for FIFA World Cup,FAKE
New vaccine launched for dengue prevention,REAL
India wins Test series against Australia,REAL
ISRO loses contact with Mars mission carrying astronauts,FAKE
Netflix bans all Indian content for a month,FAKE
India reports steady decline in COVID-19 cases,REAL
Virat Kohli scores century in comeback match,REAL
PM inaugurates new infrastructure project in Delhi,REAL
ISRO loses contact with Mars mission carrying astronauts,FAKE
Scientists find cure for aging in Indian herbs,FAKE
WHO declares India malaria-free in 2025,FAKE
India wins Test series against Australia,REAL
Rupee crashes to 100 against US dollar overnight,FAKE
All Indian states to merge under one governance,FAKE
India sees record voter turnout in general elections,REAL
Government announces free gold distribution scheme,FAKE
Rupee crashes to 100 against US dollar overnight,FAKE
Citizens to receive monthly government allowance,FAKE
PM resigns after international scandal surfaces,FAKE
India reports steady decline in COVID-19 cases,REAL
Citizens to receive monthly government allowance,FAKE
Government makes yoga compulsory in all workplaces,FAKE
Ranbir Kapoor announces retirement from acting,FAKE
Government announces new tax reforms for startups,REAL
Netflix bans all Indian content for a month,FAKE
India becomes world's fifth-largest economy,REAL
India sees record voter turnout in general elections,REAL
Opposition demands probe into corruption allegations,REAL
Government announces free gold distribution scheme,FAKE
Opposition demands probe into corruption allegations,REAL
TCS reports strong quarterly profits amid global demand,REAL
Government bans internet nationwide for a week,FAKE
Mumbai Indians clinch IPL title for record sixth time,REAL
Mumbai Indians clinch IPL title for record sixth time,REAL
BCCI cancels IPL due to player protests,FAKE
Sachin Tendulkar returns to play in IPL 2025,FAKE
Sachin Tendulkar returns to play in IPL 2025,FAKE
Opposition demands probe into corruption allegations,REAL
New web series tops OTT charts across India,REAL
Netflix bans all Indian content for a month,FAKE
RBI maintains repo rate unchanged for this quarter,REAL
Startup ecosystem grows rapidly in Tier-2 cities,REAL
Rupee crashes to 100 against US dollar overnight,FAKE
Netflix bans all Indian content for a month,FAKE
WHO declares India malaria-free in 2025,FAKE
New law mandates social media use for all adults,FAKE
New web series tops OTT charts across India,REAL
India wins Test series against Australia,REAL
India reports steady decline in COVID-19 cases,REAL
NGOs launch campaign to support rural education,REAL
WHO declares India malaria-free in 2025,FAKE
New web series tops OTT charts across India,REAL
BCCI cancels IPL due to player protests,FAKE
WHO declares India malaria-free in 2025,FAKE
WHO declares India malaria-free in 2025,FAKE
Opposition demands probe into corruption allegations,REAL
New vaccine launched for dengue prevention,REAL
Government announces new tax reforms for startups,REAL
RBI maintains repo rate unchanged for this quarter,REAL
India wins Test series against Australia,REAL
India sees record voter turnout in general elections,REAL
India becomes world's fifth-largest economy,REAL
RBI to replace all old notes with digital rupees tomorrow,FAKE
Government bans internet nationwide for a week,FAKE
ISRO successfully launches new communication satellite,REAL
Virat Kohli scores century in comeback match,REAL
AIIMS develops affordable cancer treatment,REAL
Priyanka Chopra to contest elections from Mumbai,FAKE
Virat Kohli scores century in comeback match,REAL
Rupee crashes to 100 against US dollar overnight,FAKE
NGOs launch campaign to support rural education,REAL
Mumbai Indians clinch IPL title for record sixth time,REAL
All Indian states to merge under one governance,FAKE
Government makes yoga compulsory in all workplaces,FAKE
Rupee crashes to 100 against US dollar overnight,FAKE
New law mandates social media use for all adults,FAKE
Government bans internet nationwide for a week,FAKE
Scientists find cure for aging in Indian herbs,FAKE
Rupee crashes to 100 against US dollar overnight,FAKE
PM inaugurates new infrastructure project in Delhi,REAL
All Indian states to merge under one governance,FAKE
RBI maintains repo rate unchanged for this quarter,REAL
India sees record voter turnout in general elections,REAL
RBI maintains repo rate unchanged for this quarter,REAL
New vaccine launched for dengue prevention,REAL
India wins Test series against Australia,REAL
India reports steady decline in COVID-19 cases,REAL
India bans all foreign social media apps permanently,FAKE
Government announces free gold distribution scheme,FAKE
Scientists find cure for aging in Indian herbs,FAKE
PM inaugurates new infrastructure project in Delhi,REAL
New vaccine launched for dengue prevention,REAL
Opposition demands probe into corruption allegations,REAL
Mumbai Indians clinch IPL title for record sixth time,REAL
BCCI cancels IPL due to player protests,FAKE
India wins Test series against Australia,REAL
All Indian states to merge under one governance,FAKE
All Indian states to merge under one governance,FAKE
Government announces free gold distribution scheme,FAKE
Virat Kohli scores century in comeback match,REAL
AIIMS develops affordable cancer treatment,REAL
India becomes world's fifth-largest economy,REAL
India bans all foreign social media apps permanently,FAKE
Virat Kohli scores century in comeback match,REAL
RBI maintains repo rate unchanged for this quarter,REAL
WHO declares India malaria-free in 2025,FAKE
NGOs launch campaign to support rural education,REAL
NGOs launch campaign to support rural education,REAL
India reports steady decline in COVID-19 cases,REAL
Government announces free gold distribution scheme,FAKE
Shah Rukh Khan’s latest film breaks box office records,REAL
PM inaugurates new infrastructure project in Delhi,REAL
India sees record voter turnout in general elections,REAL
Ranbir Kapoor announces retirement from acting,FAKE
India sees record voter turnout in general elections,REAL
Rupee crashes to 100 against US dollar overnight,FAKE
PM resigns after international scandal surfaces,FAKE
